Citation,N.NO.EYES,CTRL.ASB.YES,CTRL.ASB.N,N.EYES,EYES.ASB.YES,EYES.ASB.NO
ErnestJones.etal.2011.Litter,289,98,175,273,56,233
Bateson.etal.2013.Litter,297,83,214,305,80,225
Baillon.etal2013.JoD,49,19,30,51,9,42
Zengerink.2013.Litter,314,170,144,630,297,333
Bateson.etal.2015.Litter.Exp1,137,23,114,147,8,139
Bateson.etal.2015.Litter.Exp2,97,25,72,216,31,185
Cai.etal.2015.Dishonesty.Exp1,65,31,34,66,30,36
Cai.etal.2015.Dishonesty.Exp3,66,22,44,64,18,46
Hoffman.etal.2015.Dishonesty,20,9,11,20,7,13
Palomaki.etal.2015.Dishonesty,86,9,77,105,13,92
Huang.etal.2015.Corruption.Exp2,24,9,15,24,10,14
Huang.etal.2015.Corruption.Exp.3,31,24,7,30,11,19
Meleady.etal.1,104,82,39,112,83,21
Nettle.etal.2012.CycleTheft,,39,15,,31,51
Keep.Britain.Tidy.2014.DogFouling,,2159,1208,,861,434
